mood,age,sound
none,none,soc_023
mood_happy,none,soc_023
mood_aggressive,none,soc_023
mood_affectionate,none,soc_023
none,none,sq1_excited01
mood_happy,none,sq1_excited01
mood_aggressive,none,sq1_excited01
mood_affectionate,none,sq1_excited01
none,none,sq1_pant02
mood_happy,none,sq1_pant02
mood_aggressive,none,sq1_pant02
none,none,sq1_pant03
mood_happy,none,sq1_pant03
mood_aggressive,none,sq1_pant03
