Header
rate=30
frames=60
duration=2.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0,0,47.5327,-48.9053,42.5764,-7.20051,-30,-2.48264,0.655261,-56.7509,39.3508,-37.1332,-9.97862,-10.2108,-46.0659,5.97359,0,0
0.0333333,1,47.5327,-48.9053,42.5764,-7.20051,-30,-2.48264,0.655261,-56.7509,39.3508,-37.1332,-9.97862,-10.2108,-46.0659,5.97359,0,0
0.0666667,2,62.3597,-51.5803,44.4529,-9.96142,-30,-1.77794,0.655261,-57.9271,38.5527,-47.0327,-5.90965,-9.63448,-45.2185,5.84606,0,0
0.1,3,77.7848,-51.8561,46.097,-12.5761,-30,-1.49606,0.655261,-58.975,37.7414,-58.3457,-1.06831,-8.72491,-43.8547,5.64082,0,0
0.133333,4,89.7165,-48.4408,47.5224,-15.0528,-30,-1.50426,0.655261,-59.903,36.9137,-68.8155,3.33968,-7.52372,-42.0143,5.36384,0,0
0.166667,5,96.6501,-41.6849,48.7398,-17.3981,-30,-1.52823,0.655261,-60.719,36.0757,-77.4272,6.94627,-6.07257,-39.7369,5.0211,0,0
0.2,6,99.3317,-34.6272,49.7565,-19.6168,-30,-1.56709,0.655261,-61.4274,35.2309,-83.4673,9.71597,-4.41312,-37.0623,4.61858,0,0
0.233333,7,100.078,-28.643,50.5787,-21.7036,-30,-1.61992,0.655261,-62.0328,34.3831,-87.9544,12.1698,-2.58704,-34.0302,4.16226,0,0
0.266667,8,99.8363,-22.1599,51.2112,-23.6908,-30,-1.68583,0.655261,-62.5378,33.5346,-92.3182,14.785,-0.63597,-30.6803,3.65812,0,0
0.3,9,98.7721,-15.5102,51.6579,-25.543,-30,-1.76392,0.655261,-62.9443,32.6867,-96.4688,17.5436,1.39841,-27.0524,3.11213,0,0
0.333333,10,97.116,-9.12961,51.922,-27.3012,-30,-1.85328,0.655261,-63.2541,31.8404,-100.325,20.353,3.47446,-23.1861,2.53027,0,0
0.366667,11,95.1406,-3.33476,52.0065,-28.9391,-30,-1.95301,0.655261,-63.4671,31.0059,-103.807,23.163,5.55051,-19.1212,1.91852,0,0
0.4,12,93.1392,1.60356,51.9139,-30.4596,-30,-2.06221,0.655261,-63.583,30.1488,-106.838,25.9558,7.58489,-14.8975,1.28286,0,0
0.433333,13,91.4053,5.45284,51.6462,-31.8924,-30,-2.17997,0.655261,-63.6013,29.3117,-109.339,28.6653,9.53596,-10.5545,0.629272,0,0
0.466667,14,90.2114,8.06093,51.2056,-33.2029,-30,-2.30541,0.655261,-63.5211,28.4457,-111.233,31.2491,11.362,-6.13218,-0.0362774,0,0
0.5,15,89.7839,9.25546,50.5935,-34.4201,-30,-2.4376,0.655261,-63.3419,27.5938,-112.436,33.6038,13.0215,-1.67009,-0.707804,0,0
