Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
2.31,70,43,-30,86,13,0,-4,0,-54,35,-39,10,1,-25,-3,0,0
2.343,71,43,-30,88,18,0,-4,0,-54,35,-38,12,3,-20,-5,0,0
2.376,72,43,-30,89,24,0,-4,0,-54,35,-38,13,5,-16,-6,0,0
2.409,73,43,-30,88,29,0,-4,0,-54,35,-37,15,7,-12,-7,0,0
2.442,74,42,-30,87,33,0,-4,0,-54,35,-36,16,8,-7,-9,0,0
2.475,75,42,-30,84,37,0,-4,0,-54,35,-36,17,10,-2,-10,0,0
2.508,76,42,-30,82,38,0,-4,0,-54,35,-36,19,11,1,-11,0,0
2.541,77,42,-30,84,35,0,-4,0,-54,35,-36,20,12,6,-11,0,0
2.574,78,42,-30,89,27,0,-3,0,-54,35,-36,22,13,10,-12,0,0
2.607,79,42,-30,90,17,0,-3,0,-53,35,-37,24,13,15,-13,0,0
2.64,80,42,-30,90,4,0,-3,0,-53,35,-38,25,13,19,-13,0,0
2.673,81,42,-30,90,-7,0,-3,0,-53,35,-39,27,13,23,-13,0,0
2.706,82,41,-30,90,-19,0,-3,0,-53,35,-40,29,13,26,-12,0,0
2.739,83,41,-30,90,-27,0,-3,0,-53,35,-41,31,12,30,-12,0,0
2.772,84,41,-30,90,-30,0,-3,0,-53,35,-42,32,11,33,-12,0,0
2.805,85,41,-30,85,-30,0,-2,0,-53,35,-42,34,9,36,-11,0,0
2.838,86,41,-30,73,-30,0,-2,0,-53,35,-43,35,7,38,-11,0,0
2.871,87,41,-30,58,-30,0,-2,0,-53,35,-43,36,6,40,-10,0,0
2.904,88,41,-30,39,-30,0,-2,0,-53,35,-43,38,4,41,-10,0,0
2.937,89,41,-30,21,-30,0,-2,0,-53,35,-42,39,2,42,-9,0,0
2.97,90,40,-30,13,-30,0,-2,0,-53,35,-41,39,0,43,-8,0,0
3.003,91,40,-30,19,-30,0,-2,0,-52,35,-42,41,-1,42,-8,0,0
3.036,92,40,-30,24,-30,0,-1,0,-52,35,-46,43,-3,41,-7,0,0
3.069,93,40,-30,28,-30,0,-1,0,-52,35,-52,45,-5,40,-6,0,0
3.102,94,40,-30,31,-30,0,-1,0,-52,35,-58,45,-7,38,-5,0,0
3.135,95,40,-30,33,-30,0,-1,0,-52,35,-66,45,-9,36,-5,0,0
3.168,96,40,-30,36,-30,0,-1,0,-52,35,-73,45,-10,33,-4,0,0
3.201,97,39,-30,37,-30,0,-1,0,-52,35,-81,45,-11,30,-3,0,0
